"crash_unit_id","rd_no","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"755386","JC464257","2019-10-08T06:00:00","2","PARKED",,"717539",,"CHEVROLET","HHR","IL","2007","NONE","PASSENGER","NOT IN USE","N","PARKED",,,"0",,,,,,,,,,,,"true","true","true","true",,,"ROOF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755387","JC464252","2019-10-08T05:30:00","1","DRIVER",,"717538",,"FORD","F250","IL","2009","NONE","PICKUP","PERSONAL","W","STRAIGHT AHEAD",,,"1",,,,,"true",,,,,,,,,,"true","true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755388","JC464252","2019-10-08T05:30:00","2","DRIVER","2","717540",,"TOYOTA MOTOR COMPANY, LTD.","Prius","IN","2013","NONE","PASSENGER","PERSONAL","N","STRAIGHT AHEAD","true",,"3",,"PRIVATE","UNKNOWN",,,,"true","true","true",,,"true",,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755406","JC464293","2019-10-08T05:24:00","1","DRIVER",,"717556",,"HYUNDAI","ELANTRA","VA","2018","NONE","PASSENGER","OTHER","W","STRAIGHT AHEAD","true",,"2",,"STREETS AND SANITATION",,,"true","true",,,,,,,,"true","true","true",,"TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755852","JC465023","2019-10-08T04:22:00","1","DRIVER",,"717968",,"SATURN","Vue","IL","2008","NONE","PASSENGER","PERSONAL","W","PASSING/OVERTAKING",,,"1",,,,,,,,,"true",,,,,,,,,"REAR-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755509","JC464383","2019-10-08T04:00:00","4","PARKED",,"717656",,"TOYOTA MOTOR COMPANY, LTD.","COROLLA","IL","2007","UNKNOWN","PASSENGER","PERSONAL","S","PARKED",,,"0",,,,,,,,,,"true",,,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755377","JC464226","2019-10-08T03:00:00","3","PARKED",,"717529",,"BMW","UNKNOWN","IL","2007","UNKNOWN","PASSENGER","NOT IN USE","UNKNOWN","PARKED","true",,"0",,"PRIVATE TOW",,,"true",,,"true","true","true","true","true",,,"true","true",,"FRONT-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755378","JC464226","2019-10-08T03:00:00","4","PARKED",,"717530",,"ACURA","ACURA","IL","2015","UNKNOWN","PASSENGER","NOT IN USE","UNKNOWN","PARKED",,,"0",,,,,,,,,"true","true","true",,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755646","JC464737","2019-10-08T02:00:00","2","PARKED",,"717769",,"VOLKSWAGEN","PASSAT","IL","2013","NONE","PASSENGER","PERSONAL","N","PARKED",,,"0",,,,,"true","true",,"true","true",,,,,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755884","JC465228","2019-10-08T01:00:00","2","PARKED",,"717995",,"ACURA","ACURA","IL","2007","NONE","PASSENGER","PERSONAL","N","PARKED",,,"0",,,,,,,,,,,"true","true","true","true",,,,"ROOF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755567","JC464552","2019-10-08T01:00:00","2","PARKED",,"718132",,"TOYOTA MOTOR COMPANY, LTD.","Avalon","IL","2006","UNKNOWN","PASSENGER","NOT IN USE","W","PARKED",,,"0",,,,,"true","true","true","true","true",,,,,,,,,"UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755511","JC464435","2019-10-08T00:30:00","2","PARKED",,"717661",,"NISSAN","NISSAN ALTIMA","IL","2011","UNKNOWN","PASSENGER","TAXI/FOR HIRE","W","PARKED",,,"0",,,,,,,,,,"true","true","true",,,,,"false","SIDE-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755371","JC464182","2019-10-07T23:50:00","1","DRIVER","1","717522",,"NISSAN","NISSAN ALTIMA",,"2012","NONE","PASSENGER","PERSONAL","N","STRAIGHT AHEAD","true",,"2",,"CPD","POUND 1",,"true","true","true",,,,,,"true","true","true","true",,"TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755372","JC464182","2019-10-07T23:50:00","2","PARKED",,"717523",,"NISSAN","VERSA","IL","2018","NONE","PASSENGER","NOT IN USE","N","PARKED",,,"0",,,,,,"true","true",,,,,,,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755373","JC464182","2019-10-07T23:50:00","3","DRIVER","1","717525",,"FORD","EXPLORER","IL","2015","NONE","SPORT UTILITY VEHICLE (SUV)","POLICE","N","SLOW/STOP IN TRAFFIC",,,"2",,,,,,,,,"true",,"true",,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755374","JC464182","2019-10-07T23:50:00","4","PARKED",,"717526",,"CHEVROLET","MALIBU (CHEVELLE)","IL","2011","NONE","PASSENGER","NOT IN USE","N","PARKED",,,"0",,,,,,,,"true","true","true",,,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755346","JC464158","2019-10-07T23:32:00","2","PARKED","1","717504",,"CHEVROLET","CRUZE","IL","2018","UNKNOWN","PASSENGER","PERSONAL","W","PARKED",,,"1",,,,,,,,,,,,"true","true",,,,,"ROOF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755369","JC464152","2019-10-07T23:30:00","1","DRIVER",,"717521",,"PONTIAC","UNKNOWN","IL","2006","UNKNOWN","PASSENGER","UNKNOWN/NA","W","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,,"true","OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
